Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Switzerland,7.587,7.509,7.49399995803833,7.487,7.48,4.8,4.92,4.8,4.71,4.39,84776.1421659748,83073.2800824812,83352.0886533412,86388.4049527184,85334.5194620909,0.507122105703075,0.9368837412635,0.641284065674213,2.16156965343124,0.491609144873692
Iceland,7.561,7.501,7.50400018692017,7.495,7.494,3.98,2.98,2.74,2.7,3.51,52951.6815110898,61987.9263620283,72010.1490316258,74469.8040591559,68941.4622272394,3.35414533328364,4.83829921427557,1.7794101347671,2.12030149363669,0.206935274875605
Denmark,7.527,7.526,7.52199983596802,7.555,7.6,6.28,5.99,5.83,5.13,5.02,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59775.7350964515,1.62216625804921,2.44336887407066,2.16235511316152,1.4850851572351,1.7496140950622
Norway,7.522,7.498,7.53700017929077,7.594,7.554,4.3,4.68,4.16,3.8,3.69,74355.5158575643,70460.5605323322,75496.7540581998,82267.809316159,75719.7528965342,0.95750076290291,0.185059679800673,1.50018092554136,0.453550486030423,0.0679926261787642
Canada,7.427,7.404,7.31599998474121,7.328,7.278,6.91,7.0,6.34,5.83,5.66,43596.1355365546,42315.6037056806,45129.3564395662,46548.5203600809,46338.3409560127,-0.089285801148975,-0.135842621321913,1.81111454911982,1.33547089037103,0.448132391437483
Finland,7.406,7.413,7.4689998626709,7.632,7.769,9.38,8.82,8.64,7.36,6.69,42784.6983616432,43784.2839622098,46297.4963459994,49964.4999098426,48628.641762105,0.213029419665261,2.5163798952421,2.95053137282473,1.00788071036347,1.10927871251762
Netherlands,7.378,7.339,7.3769998550415,7.441,7.488,6.87,6.01,4.84,3.83,3.38,45175.2318933798,46007.8529206547,48554.9922761756,53018.6293562696,52476.2732533327,1.50826618391271,1.64931554652068,2.30428473259315,1.76493726416223,1.28988912106223
Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.43,6.99,6.72,6.36,6.83,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,3.39017629600058,0.79614630049835,1.19514757132167,0.772577449000039,0.957561656419784
New Zealand,7.286,7.334,7.31400012969971,7.324,7.307,5.41,5.15,4.74,4.33,4.11,38630.7265886928,40080.4941137172,42992.8952738896,43306.0700032372,42755.2162634522,1.61720893840365,1.42623836172024,1.47153285884679,1.37354364665912,0.0275641486978628
Australia,7.284,7.313,7.28399991989136,7.272,7.228,6.05,5.71,5.59,5.3,5.16,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,0.712256477964445,1.1493474640983,0.587161102950546,1.302840712022,0.571102988410345
