Country,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Aruba,28396.9084228616,28452.1706146796,29350.8050189137,30253.2793580195,,5.12965708792277,1.58786875286513,1.51982143378811,,
Africa Eastern and Southern,1549.03794037642,1431.7787234042,1573.06338581001,1574.97864775317,1530.05917655094,0.187859711602755,-0.674532556274414,-0.144709797664106,-0.185405595367016,-0.544414098800544
Afghanistan,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,-1.62285718631547,-0.541416195952564,0.0647641950115201,-1.19490038335884,1.53563667424
Africa Western and Central,1894.3101949536,1673.83552685464,1613.47355303429,1704.1396025899,1777.91867152634,0.0074023590114222,-2.53356229121614,-0.390664943817995,0.241530875100992,0.492953120389345
Angola,4166.97983330278,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,-2.46873730689103,-5.81618754909985,-3.40998337557743,-5.16211179066241,-3.7956079652012
Albania,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,2.51682705063622,3.48029321692431,3.89774060579526,4.2763256546607,2.54935857948763
Andorra,35770.7767044085,37475.6350587526,38964.904478265,41791.9698372411,40897.3308728669,3.02081678005885,4.64621154922207,0.734439351000333,1.57425431733354,1.83306059347608
Arab World,6220.71663600231,5969.61659266763,5987.3419570748,6504.14849275027,6489.04321596317,0.888157831786017,1.15295877026209,-1.00635785647198,0.468786241052925,0.137964422114464
United Arab Emirates,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,42701.4430454782,4.50781768694726,1.90520573929507,1.01143077389321,-0.320590314360061,1.93443148259161
Argentina,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.99438788864292
Armenia,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,2.7359180235262,-0.161329865469654,7.18452239016769,4.9522308356251,7.38219727969849
American Samoa,12059.6351646776,12038.2496994923,11003.8297642807,11521.6097798453,11715.3601388487,3.12188089164911,-1.56120490141551,-6.78354801701121,2.95991055574585,-0.219737965386599
Antigua and Barbuda,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,2.70571843639473,4.43725332350857,2.16611404366698,5.93227628165489,3.96278455965997
Australia,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,0.712256477964445,1.1493474640983,0.587161102950546,1.302840712022,0.571102988410345
Austria,44178.0473777432,45276.8314351693,47312.0062332199,51461.4332150082,50114.4011099728,-0.111540189504495,0.892469139632297,1.55072408627153,2.00355252390945,1.04090811975335
Azerbaijan,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,-0.103121433889072,-4.1771717983498,-0.778416065787681,0.624486167739761,1.63585041443849
Burundi,305.549652502657,260.56522079627,253.826354063895,238.783467020173,228.213589244227,-6.8864045414511,-3.70833487696058,-2.64677820864496,-1.5575434549573,-1.29476823572824
Belgium,40991.8081381432,41984.1030335609,44089.3100875118,47519.5530968943,46591.4916067396,1.45189336758756,0.755268919102846,1.22886623616918,1.35679144535901,1.59897001717071
Benin,1076.79669785585,1087.28733148547,1136.59387178448,1241.82529800958,1219.51550596905,-1.00423453913564,0.525130743148708,2.80528150351485,3.81878334277161,4.00308913488962
Burkina Faso,653.32726813947,688.250696258197,734.996267960528,804.500537821516,796.115206827676,0.911075762596241,2.91366558534006,3.17736075265671,3.59163480841336,2.72407212531654
Bangladesh,1248.45330989613,1401.56463513179,1563.76781861826,1698.13208078712,1855.74009422319,5.36686615945385,5.94667828426267,6.1364783118442,6.73329863316326,7.04528876097589
