Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019
Switzerland,7.587,7.509,7.49399995803833,7.487,7.48
Iceland,7.561,7.501,7.50400018692017,7.495,7.494
Denmark,7.527,7.526,7.52199983596802,7.555,7.6
Norway,7.522,7.498,7.53700017929077,7.594,7.554
Canada,7.427,7.404,7.31599998474121,7.328,7.278
Finland,7.406,7.413,7.4689998626709,7.632,7.769
Netherlands,7.378,7.339,7.3769998550415,7.441,7.488
Sweden,7.364,7.291,7.28399991989136,7.314,7.343
New Zealand,7.286,7.334,7.31400012969971,7.324,7.307
Australia,7.284,7.313,7.28399991989136,7.272,7.228
Israel,7.278,7.267,7.21299982070923,6.814,7.139
Costa Rica,7.226,7.087,7.0789999961853,7.072,7.167
Austria,7.2,7.119,7.00600004196167,7.139,7.246
Mexico,7.187,6.778,6.57800006866455,6.488,6.595
United States,7.119,7.104,6.99300003051758,6.886,6.892
Brazil,6.983,6.952,6.63500022888184,6.419,6.3
Luxembourg,6.946,6.871,6.86299991607666,6.91,7.09
Ireland,6.94,6.907,6.97700023651123,6.977,7.021
Belgium,6.937,6.929,6.89099979400635,6.927,6.923
United Arab Emirates,6.901,6.573,6.64799976348877,6.774,6.825
United Kingdom,6.867,6.725,6.71400022506714,7.19,7.054
Venezuela,6.81,6.084,5.25,4.806,4.707
Singapore,6.798,6.739,6.57200002670288,6.343,6.262
Panama,6.786,6.701,6.4520001411438,6.43,6.321
Germany,6.75,6.994,6.95100021362305,6.965,6.985
Chile,6.67,6.705,6.65199995040894,6.476,6.444
Qatar,6.611,6.375,6.375,6.374,6.374
France,6.575,6.478,6.44199991226196,6.489,6.592
Argentina,6.574,6.65,6.59899997711182,6.388,6.086
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852
Uruguay,6.485,6.545,6.4539999961853,6.379,6.293
Colombia,6.477,6.481,6.35699987411499,6.26,6.125
Thailand,6.455,6.474,6.42399978637695,6.072,6.008
Saudi Arabia,6.411,6.379,6.3439998626709,6.371,6.375
Spain,6.329,6.361,6.40299987792969,6.31,6.354
Malta,6.302,6.488,6.52699995040894,6.627,6.726
Kuwait,6.295,6.239,6.10500001907349,6.083,6.021
El Salvador,6.13,6.068,6.00299978256226,6.167,6.253
Guatemala,6.123,6.324,6.4539999961853,6.382,6.436
Uzbekistan,6.003,5.987,5.97100019454956,6.096,6.174
Slovakia,5.995,6.078,6.09800004959106,6.173,6.198
Japan,5.987,5.921,5.92000007629395,5.915,5.886
South Korea,5.984,5.835,5.83799982070923,5.875,5.895
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199
Italy,5.948,5.977,5.96400022506714,6.0,6.223
Bolivia,5.89,5.822,5.82299995422363,5.752,5.779
Moldova,5.889,5.897,5.83799982070923,5.64,5.529
Paraguay,5.878,5.538,5.49300003051758,5.681,5.743
Kazakhstan,5.855,5.919,5.81899976730347,5.79,5.809
Slovenia,5.848,5.768,5.75799989700317,5.948,6.118
Lithuania,5.833,5.813,5.90199995040894,5.952,6.149
Nicaragua,5.828,5.992,6.07100009918213,6.141,6.105
Peru,5.824,5.743,5.71500015258789,5.663,5.697
Belarus,5.813,5.802,5.56899976730347,5.483,5.323
Poland,5.791,5.835,5.97300004959106,6.123,6.182
Malaysia,5.77,6.005,6.08400011062622,6.322,5.339
Croatia,5.759,5.488,5.29300022125244,5.321,5.432
Libya,5.754,5.615,5.52500009536743,5.566,5.525
Russia,5.716,5.856,5.96299982070923,5.81,5.648
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89
Cyprus,5.689,5.546,5.62099981307983,5.762,6.046
Algeria,5.605,6.355,5.87200021743774,5.295,5.211
Kosovo,5.589,5.401,5.27899980545044,5.662,6.1
Turkmenistan,5.548,5.658,5.82200002670288,5.636,5.247
Mauritius,5.477,5.648,5.62900018692017,5.891,5.888
Estonia,5.429,5.517,5.61100006103516,5.739,5.893
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175
Turkey,5.332,5.389,5.5,5.483,5.373
Kyrgyzstan,5.286,5.185,5.00400018692017,5.131,5.261
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265
Bhutan,5.253,5.196,5.01100015640259,5.082,5.082
Azerbaijan,5.212,5.291,5.23400020599365,5.201,5.208
Pakistan,5.194,5.132,5.26900005340576,5.472,5.653
Jordan,5.192,5.303,5.33599996566772,5.161,4.906
Montenegro,5.192,5.161,5.23699998855591,5.347,5.523
China,5.14,5.245,5.27299976348877,5.246,5.191
Zambia,5.129,4.795,4.51399993896484,4.377,4.107
Romania,5.124,5.528,5.82499980926514,5.945,6.07
Serbia,5.123,5.177,5.39499998092651,5.398,5.603
Portugal,5.102,5.123,5.19500017166138,5.41,5.693
Latvia,5.098,5.56,5.84999990463257,5.933,5.94
Philippines,5.073,5.279,5.42999982833862,5.524,5.631
Morocco,5.013,5.151,5.2350001335144,5.254,5.208
Albania,4.959,4.655,4.64400005340576,4.586,4.719
Bosnia and Herzegovina,4.949,5.163,5.18200016021729,5.129,5.386
Dominican Republic,4.885,5.155,5.23000001907349,5.302,5.425
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285
Greece,4.857,5.033,5.22700023651123,5.358,5.287
Lebanon,4.839,5.129,5.22499990463257,5.358,5.197
Hungary,4.8,5.145,5.32399988174438,5.62,5.758
Honduras,4.788,4.871,5.18100023269653,5.504,5.86
