Country,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,Unemployment_Rate_Mean
Africa Eastern and Southern,6.49,6.61,6.71,6.73,6.91,6.69
Afghanistan,11.13,11.16,11.18,11.15,11.22,11.168
Africa Western and Central,4.63,5.57,6.02,6.04,6.06,5.664
Angola,7.39,7.41,7.41,7.42,7.42,7.410000000000001
Albania,17.19,15.42,13.62,12.3,11.47,14.0
Arab World,10.97,10.76,10.9,10.5,10.01,10.628
United Arab Emirates,1.77,1.64,2.46,2.35,2.23,2.0900000000000003
Argentina,7.52,8.11,8.35,9.22,9.84,8.607999999999999
Armenia,18.26,17.62,17.7,18.97,18.3,18.169999999999998
Australia,6.05,5.71,5.59,5.3,5.16,5.562
Austria,5.72,6.01,5.5,4.85,4.49,5.314
Azerbaijan,4.96,5.0,5.0,4.9,4.85,4.942
Burundi,1.6,1.59,1.59,1.59,1.59,1.592
Belgium,8.48,7.83,7.09,5.95,5.36,6.942
Benin,2.01,1.83,1.64,1.47,1.47,1.684
Burkina Faso,4.32,4.43,4.56,4.69,4.69,4.538
Bangladesh,4.37,4.35,4.37,4.41,4.44,4.388
Bulgaria,9.14,7.57,6.16,5.21,4.23,6.462000000000001
Bahrain,1.2,1.19,1.18,1.2,1.2,1.194
"Bahamas, The",12.0,12.7,9.8,10.0,10.06,10.912
Bosnia and Herzegovina,27.69,25.41,20.53,18.4,15.69,21.544
Belarus,5.84,5.84,5.65,4.76,4.16,5.249999999999999
Belize,7.58,7.0,6.6,6.64,6.71,6.906000000000001
Bolivia,3.11,3.5,3.65,3.52,3.82,3.5199999999999996
Brazil,8.43,11.6,12.82,12.33,11.93,11.422
Barbados,9.8,8.25,8.62,8.32,8.41,8.680000000000001
Brunei Darussalam,7.78,8.38,9.32,8.7,6.92,8.22
Bhutan,2.45,2.49,2.45,2.44,2.5,2.466
Botswana,20.57,21.03,21.57,22.07,22.61,21.57
Central African Republic,5.61,5.65,5.65,5.61,5.62,5.628000000000001
Canada,6.91,7.0,6.34,5.83,5.66,6.348
Central Europe and the Baltics,7.82,6.49,5.3,4.32,3.78,5.542
Switzerland,4.8,4.92,4.8,4.71,4.39,4.724
Channel Islands,8.22,7.74,7.14,6.57,6.41,7.215999999999999
Chile,6.51,6.74,6.96,7.23,7.29,6.946000000000001
China,4.63,4.53,4.44,4.28,4.52,4.48
Cote d'Ivoire,3.15,2.6,3.27,3.29,3.32,3.126
Cameroon,3.55,3.58,3.6,3.62,3.64,3.5980000000000003
"Congo, Dem. Rep.",4.47,4.48,4.47,4.45,4.45,4.4639999999999995
"Congo, Rep.",20.45,20.56,20.56,20.61,20.62,20.56
Colombia,8.3,8.69,8.87,9.11,9.96,8.986
Comoros,8.14,8.1,8.09,8.08,8.08,8.098
Cabo Verde,11.8,12.01,12.24,12.17,12.22,12.088000000000001
Costa Rica,9.0,8.6,8.14,9.63,11.49,9.372000000000002
Caribbean small states,10.55,10.61,9.76,8.71,8.02,9.530000000000001
Cuba,2.4,2.0,1.7,1.7,1.74,1.9080000000000001
Cyprus,14.91,12.95,11.05,8.37,7.07,10.87
Czech Republic,5.05,3.95,2.89,2.24,2.01,3.228
Germany,4.62,4.12,3.75,3.38,3.14,3.8020000000000005
Djibouti,26.33,26.19,26.06,26.19,26.36,26.226
Denmark,6.28,5.99,5.83,5.13,5.02,5.65
Dominican Republic,7.61,7.28,5.83,5.86,6.36,6.587999999999999
Algeria,11.21,10.2,10.33,10.42,10.51,10.534
East Asia & Pacific (excluding high income),4.1,4.02,3.91,3.79,3.9,3.944
Early-demographic dividend,5.73,5.75,5.65,5.64,5.53,5.660000000000001
East Asia & Pacific,4.07,3.98,3.86,3.73,3.82,3.8920000000000003
Europe & Central Asia (excluding high income),7.59,7.6,7.38,7.08,7.26,7.382
Europe & Central Asia,8.56,8.08,7.48,6.9,6.67,7.538000000000001
Ecuador,3.62,4.6,3.84,3.53,3.81,3.88
"Egypt, Arab Rep.",13.05,12.41,11.74,9.82,7.84,10.972
Euro area,10.84,10.01,9.05,8.17,7.53,9.120000000000001
Eritrea,5.83,5.9,5.94,5.95,5.99,5.922
Spain,22.06,19.63,17.22,15.25,14.1,17.651999999999997
Estonia,6.19,6.76,5.76,5.37,4.45,5.706
Ethiopia,2.27,2.29,2.3,2.32,2.33,2.302
European Union,10.03,9.12,8.14,7.27,6.69,8.25
Fragile and conflict affected situations,5.78,6.3,6.64,6.55,6.52,6.358
Finland,9.38,8.82,8.64,7.36,6.69,8.178
Fiji,4.3,4.32,4.28,4.33,4.45,4.336
France,10.35,10.05,9.41,9.02,8.41,9.447999999999999
Gabon,20.61,20.67,20.72,20.75,20.74,20.698
United Kingdom,5.3,4.81,4.33,4.0,3.74,4.436
Georgia,16.51,16.6,13.94,12.67,11.57,14.258
Ghana,6.81,5.53,4.22,4.28,4.32,5.032
Guinea,4.92,4.88,4.91,4.98,5.02,4.942
"Gambia, The",9.47,9.5,9.48,9.48,9.5,9.486
Guinea-Bissau,5.87,5.95,5.99,5.98,6.04,5.966
Equatorial Guinea,8.54,8.63,8.65,8.62,8.68,8.623999999999999
Greece,24.9,23.54,21.49,19.29,17.31,21.306
Guatemala,2.51,2.58,2.46,2.28,2.19,2.404
Guam,6.9,5.4,5.43,5.56,5.51,5.76
Guyana,13.21,13.46,13.75,14.02,13.99,13.685999999999998
High income,6.63,6.15,5.59,5.07,4.77,5.642
"Hong Kong SAR, China",3.31,3.39,3.13,2.82,2.93,3.116
Honduras,6.15,6.73,5.53,5.65,5.7,5.952
Heavily indebted poor countries (HIPC),4.77,4.71,4.66,4.69,4.71,4.708
Croatia,16.18,13.1,11.21,8.43,6.62,11.108
Haiti,13.96,13.93,13.88,13.86,13.91,13.908000000000001
Hungary,6.81,5.11,4.16,3.71,3.42,4.642
IBRD only,5.71,5.82,5.76,5.63,5.66,5.715999999999999
IDA & IBRD total,5.44,5.58,5.57,5.47,5.49,5.51
IDA total,4.43,4.7,4.88,4.92,4.89,4.764
IDA blend,4.07,5.01,5.61,5.79,5.71,5.238
Indonesia,4.51,4.3,3.88,4.4,3.62,4.1419999999999995
IDA only,4.6,4.56,4.56,4.54,4.53,4.558
India,5.43,5.42,5.36,5.33,5.27,5.362
Ireland,9.91,8.37,6.71,5.74,4.95,7.136000000000001
"Iran, Islamic Rep.",11.17,12.62,12.23,12.19,10.74,11.79
Iraq,10.73,10.82,13.02,12.97,12.86,12.08
Iceland,3.98,2.98,2.74,2.7,3.51,3.1819999999999995
Israel,5.25,4.8,4.22,4.0,3.8,4.414
Italy,11.9,11.69,11.21,10.61,9.95,11.072
Jamaica,13.51,13.19,11.63,9.1,7.69,11.024
Jordan,13.08,15.28,18.14,18.27,16.81,16.316
Japan,3.4,3.1,2.8,2.4,2.4,2.8200000000000003
Kazakhstan,4.93,4.96,4.9,4.85,4.8,4.888
Kenya,2.78,2.76,3.51,4.25,5.01,3.662
Kyrgyz Republic,7.56,7.21,6.89,6.89,6.92,7.093999999999999
Cambodia,0.39,0.72,0.14,0.14,0.15,0.308
"Korea, Rep.",3.55,3.65,3.65,3.82,3.75,3.684
Kuwait,2.2,2.16,2.2,2.16,2.17,2.178
Latin America & Caribbean (excluding high income),6.66,7.89,8.18,8.05,8.09,7.774000000000001
Lao PDR,0.78,0.79,0.81,0.83,0.85,0.8119999999999999
Lebanon,9.32,9.78,10.27,10.8,11.35,10.304
Liberia,2.08,3.08,3.05,3.03,3.02,2.852
Libya,19.53,19.53,19.37,19.45,19.66,19.508000000000003
St. Lucia,20.56,19.65,18.86,19.08,15.32,18.694
Latin America & Caribbean,6.63,7.72,7.99,7.87,7.93,7.628
Least developed countries: UN classification,4.52,4.55,4.59,4.55,4.55,4.5520000000000005
Low income,5.04,5.07,5.09,5.09,5.11,5.08
Sri Lanka,4.52,4.24,4.05,4.32,4.35,4.295999999999999
Lower middle income,5.17,5.26,5.25,5.21,5.03,5.184
Low & middle income,5.39,5.55,5.55,5.46,5.49,5.4879999999999995
Lesotho,23.84,23.48,23.2,22.81,22.44,23.154
Late-demographic dividend,5.08,5.24,5.23,5.01,5.15,5.142
Lithuania,9.12,7.86,7.07,6.15,6.26,7.292
Luxembourg,6.67,6.29,5.52,5.59,5.59,5.932
Latvia,9.87,9.64,8.72,7.41,6.31,8.39
"Macao SAR, China",1.81,1.94,1.99,1.83,1.75,1.864
Morocco,9.46,9.3,9.24,9.27,9.28,9.309999999999999
Moldova,4.7,4.02,4.1,4.11,5.1,4.406000000000001
Madagascar,1.79,1.8,1.82,1.84,1.86,1.8219999999999998
Maldives,6.93,6.12,5.87,5.62,5.34,5.976000000000001
Middle East & North Africa,10.18,10.24,10.26,9.88,9.15,9.942
Mexico,4.31,3.86,3.42,3.28,3.48,3.6699999999999995
Middle income,5.42,5.59,5.6,5.5,5.53,5.5280000000000005
North Macedonia,26.07,23.72,22.38,20.74,17.26,22.034
Mali,7.73,7.57,7.41,7.43,7.44,7.516
Malta,5.38,4.69,4.0,3.66,3.62,4.2700000000000005
Myanmar,0.77,1.18,1.56,0.87,0.5,0.976
Middle East & North Africa (excluding high income),11.93,12.05,12.07,11.62,10.77,11.687999999999999
Montenegro,17.54,17.72,16.07,15.17,15.12,16.324
Mongolia,4.86,7.24,6.36,5.38,5.44,5.856
Mozambique,3.43,3.45,3.45,3.46,3.47,3.4520000000000004
Mauritania,10.14,10.26,10.34,10.39,10.39,10.303999999999998
Mauritius,7.41,6.81,6.75,6.43,6.33,6.7459999999999996
Malawi,5.86,5.82,5.76,5.76,5.75,5.789999999999999
Malaysia,3.1,3.44,3.41,3.3,3.26,3.3019999999999996
North America,5.46,5.1,4.58,4.11,3.89,4.628
Namibia,20.91,23.35,21.64,19.88,19.99,21.154
New Caledonia,14.73,14.69,14.78,14.85,14.91,14.792000000000002
Niger,0.53,0.53,0.54,0.55,0.55,0.54
